q,n1,n2,n3,n4,a,t,s
다음 중 해양쓰레기로 인한 피해 사례로 알맞은 것은?,해양쓰레기는 단순히 해안가의 경관을 아름답게 만든다.,해양쓰레기는 해산물 어획량 감소 및 어업장비 손상 등의 어업 생산성 저하를 초래한다.,해양쓰레기는 해양 생태계를 활성화시켜 다양한 어종의 서식을 증가시킨다.,해양쓰레기는 바다에서 자연적으로 분해되어 아무런 문제를 일으키지 않는다.,2,해양쓰레기 피해 사례,해양쓰레기는 어업 장비를 방해하고 해양 생태계를 파괴합니다.
다음 중 해양쓰레기로 인한 피해 사례에 대한 설명으로 옳은 것은?,해양쓰레기는 해양 생물에게 피난처를 제공하여 긍정적인 영향을 미친다.,해양쓰레기는 해저에서만 발생하고 지상에서는 문제가 되지 않는다.,해양쓰레기는 시간이 지나면 자연적으로 사라지기 때문에 큰 문제가 되지 않는다.,해양쓰레기는 바람과 해류를 따라 국가 간 이동하여 외교 문제를 일으킬 수 있다.,4,해양쓰레기 피해 사례,국가 간 쓰레기 이동은 외교적 갈등을 초래합니다.
해양쓰레기 문제로 인해 발생할 수 있는 현상으로 알맞은 것은?,해양쓰레기는 해양 생물에게 서식지를 제공하는 긍정적인 영향을 미친다.,해양쓰레기는 자연적으로 오존층 파괴를 막는다.,해양쓰레기는 바다에 머무르지 않고 즉시 물에 녹아 사라진다.,해양쓰레기는 바다생물의 생명을 위협한다.,4,해양쓰레기 피해 사례,해양쓰레기를 섭취하거나 몸에 걸려 바다생물의 생명을 위협합니다.
다음 중 해양쓰레기로 인해 발생할 수 있는 문제로 알맞은 것은?,해양쓰레기는 시간이 지나면 자연적으로 빠르게 분해된다.,해양쓰레기는 해양 생물에게 새로운 서식지를 제공한다.,국가 간 외교 갈등이 발생할 수 있다.,해양쓰레기는 해안 경관을 아름답게 만든다.,3,해양쓰레기 피해 사례,"해양쓰레기는 공유 자원으로, 국가 간 책임 분쟁을 유발할 수 있습니다."
다음 중 해양쓰레기로 인한 문제로 옳은 것은?,해양쓰레기는 자연적으로 빠르게 분해된다.,해양쓰레기는 국가 간 갈등을 유발할 수 있다.,해양쓰레기는 바다에 떠다니지 않고 해변에서만 발견된다.,해양쓰레기는 해양 생태계에 긍정적인 영향을 준다.,2,해양쓰레기 피해 사례,해양쓰레기는 국가 간 해역 분쟁을 초래합니다.
태평양 해양 쓰레기섬에 대한 설명으로 알맞은 것은?,쓰레기섬은 매일 없어지기 때문에 지속적으로 문제가 되지 않는다.,쓰레기섬은 지구 상의 모든 해양 쓰레기가 자연적으로 모이는 유일한 장소이다.,"쓰레기섬은 북태평양 한가운데 위치하며, 약 1조 8천억 개의 플라스틱 쓰레기로 이루어져 있다.",태평양 해양 쓰레기섬은 나무 조각들로만 이루어져 있다.,3,태평양 쓰레기섬,정확한 위치와 플라스틱 양을 명시하였습니다.
다음 중 태평양 쓰레기섬(GPGP)에 대한 설명으로 알맞은 것은?,태평양 쓰레기섬은 모든 쓰레기가 자발적으로 분해되어 사라진다.,태평양 쓰레기섬은 북태평양 한가운데 위치한 세계 최대의 해양 플라스틱 쓰레기 섬이다.,태평양 쓰레기섬은 정부의 강력한 대책으로 완전 제거되었다.,태평양 쓰레기섬은 해양 생태계에 전혀 영향을 미치지 않는다.,2,태평양 쓰레기섬,위치와 규모로 인해 정답입니다.
태평양 해양 쓰레기섬(GPGP)에 대한 설명으로 알맞은 것은?,태평양 해양 쓰레기섬은 초음파를 이용해 쉽게 제거할 수 있다.,태평양 해양 쓰레기섬은 주로 금속과 유리로 구성되어 있다.,태평양 해양 쓰레기섬은 자연적으로 퇴비화되어 시간이 지나면 사라진다.,"세계 최대의 해양 플라스틱 쓰레기 섬으로, 바람과 해류의 영향을 받아 형성되었다.",4,태평양 쓰레기섬,태평양의 거대한 쓰레기 집합체입니다.
태평양 쓰레기섬에 대한 설명으로 알맞은 것은?,태평양 쓰레기섬은 바람과 해류 순환으로 인해 형성된 세계 최대의 해양 플라스틱 쓰레기 섬이다.,태평양 쓰레기섬은 자연적으로 형성된 가장 깨끗한 지역이다.,태평양 쓰레기섬은 사람들이 여행하려고 만들어진 인공 섬이다.,태평양 쓰레기섬은 해양 플라스틱 쓰레기를 제거할 수 있는 자동 청소 시스템이 존재하여 문제 없다.,1,태평양 쓰레기섬,바람과 해류로 모인 최대규모 플라스틱섬입니다.
태평양 해양 쓰레기섬에 대한 설명으로 알맞은 것은?,쓰레기섬은 북태평양 한가운데 위치한 세계 최대의 해양 플라스틱 쓰레기 섬이다.,태평양 해양 쓰레기섬은 존재하지 않으며 단지 도시 전설에 불과하다.,쓰레기섬은 매일 모든 쓰레기를 수거하여 제거하는 효율적인 시스템을 갖추고 있다.,태평양 해양 쓰레기섬은 해양 생태계에 긍정적인 영향을 미치고 있다.,1,태평양 쓰레기섬,북태평양의 거대한 플라스틱 쓰레기 집중지입니다.
미세 플라스틱에 대한 설명으로 알맞은 것은?,"미세 플라스틱은 먹이사슬의 모든 단계에 있는 생물이 섭취할 수 있으며, 이로 인해 해양 동물들이 다양한 부작용을 겪을 수 있다.",미세 플라스틱은 해양 환경에 긍정적인 영향을 준다.,미세 플라스틱은 바닷물 속에서 완전히 분해되어 사라진다.,미세 플라스틱은 인체에 무해하여 먹어도 문제가 없다.,1,미세플라스틱,미세 플라스틱은 생태계 전반에 영향을 줍니다.
많은 해양 생물들이 미세 플라스틱으로 인해 겪을 수 있는 부작용으로 알맞은 것은?,장폐색 및 에너지 할당이 감소된다.,미세 플라스틱은 해양 생물의 소화에 도움이 된다.,해양 생물들은 미세 플라스틱을 주식으로 삼아 영양을 보충한다.,미세 플라스틱은 해양 생물의 체내에 쌓이지 않는다.,1,미세플라스틱,미세 플라스틱은 소화 방해와 에너지 감소를 유발합니다.
미세 플라스틱의 해양 생태계에 대한 영향으로 알맞은 것은?,플랑크톤에서부터 고래에 이르기까지 먹이사슬의 모든 단계에서 미세 플라스틱을 섭취할 수 있다.,미세 플라스틱은 해류의 흐름에 영향을 주지 않는다.,미세 플라스틱은 바다의 수온을 조절하는 긍정적인 역할을 한다.,미세 플라스틱은 생물이 소화할 수 있어 해양 생물에게 무해하다.,1,미세플라스틱,미세 플라스틱은 해양 생물의 먹이로 오인됩니다.
미세 플라스틱에 대한 설명으로 알맞은 것은?,미세 플라스틱은 해양 생물에게 아무런 해를 끼치지 않는다.,미세 플라스틱은 자연적으로 빠르게 분해된다.,미세 플라스틱은 물속에서 전혀 이동하지 않는다.,"미세 플라스틱은 해양 생물의 먹이사슬에 영향을 미치며, 섭취 시 해양 동물에게 물리적 상처와 소화 장애를 유발할 수 있다.",4,미세플라스틱,미세 플라스틱은 생물에 해롭기 때문입니다.
허베이스피릿호 원유유출 사고에 관한 설명으로 알맞은 것은?,"이 사고는 한국에서 발생한 최대 규모의 해양오염 사고로, 12,547㎘의 원유가 유출되었다.",이 사고는 바다에서 일어났지만 한국과는 전혀 관련이 없다.,이 사고는 해양오염과 관련이 없는 기름 유출 사고였다.,허베이스피릿호 사고에서는 어떤 원유도 유출되지 않았다.,1,허베이스피릿호 원유유출 사고,사고 규모와 유출량 기준으로 맞습니다.
허베이 스피리트 호 원유유출 사고에 대한 설명으로 알맞은 것은?,이 사고는 인간의 실수가 아니라 자연재해로 인해 발생했다.,유출된 원유는 즉시 제거되어 주변 지역에 영향을 미치지 않았다.,"이 사고로 유출된 원유는 해역을 오염시켰으며, 이는 국내 최대의 해양오염 사고였다.",이 사고로 인해 오염된 해역은 예정대로 즉시 관광 명소로 개방되었다.,3,허베이스피릿호 원유유출 사고,유출 규모와 오염 지역의 광범위성 때문입니다.
허베이 스피리트호 원유유출 사고와 관련하여 옳은 것은?,이 사고는 오직 단 하루 만에 모든 오염이 정화되었다.,"허베이 스피리트호 사고는 산불 사고로, 해양오염과는 관련이 없다.","이 사고는 국내 최대의 해양오염 사고로 심각성이 컸다.",사고 지역은 자주 발생하는 기름 유출로 이미 오염되어 있었기 때문에 특별한 주목을 받지 못했다.,3,허베이스피릿호 원유유출 사고,청정지역 오염과 규모가 국내 최대였기 때문입니다.
호주 시드니 해변의 검은 공에 대한 설명으로 알맞은 것은?,'검은 공'은 해변에서 발견된 새로운 생명체의 알이다.,'검은 공'은 시드니 해변에서 자생하는 조류의 일종이다.,"'검은 공'은 탄화수소 기반 오염물질로, 바다로 빠져나간 석유가 다른 물질과 응고되고 응축되어 만들어진 타르볼이다.",'검은 공'은 해양 식물의 자연적인 분해 과정에서 만들어진 것이다.,3,호주 검은 공 사건,타르볼은 검은 공 모양의 해양 오염물입니다.
최근 호주 시드니 해변에서 발견된 '검은 공'의 원인으로 알맞은 것은?,검은 공은 해안 지역 조류의 알이 부풀어 오른 것이다.,검은 공은 해양생물이 방출한 천연 가스가 굳어진 결과이다.,석유가 이물질과 함께 응고되고 응축되어 만들어진 타르볼이다.,검은 공은 주민들이 만들고 장난으로 해변에 두고 간 것이다.,3,호주 검은 공 사건,석유가 해양 환경에서 응고되어 타르볼 형성되었습니다.
호주 시드니 해변의 검은 공 사건에 대한 설명으로 알맞은 것은?,검은 공은 석유와 이물질이 뭉친 타르볼이다.,검은 공은 해안에서 발견된 대규모 플라스틱 파편이다.,검은 공은 시드니 해변의 상징적인 조형물이다.,검은 공은 해양에서 부유하는 해조류가 뭉쳐진 것이다.,1,호주 검은 공 사건,검은 공은 해양 오염으로 생긴 타르 덩어리이기 때문입니다.
호주 시드니 해변의 '검은 공' 사건에 대한 설명으로 알맞은 것은?,"'검은 공'은 바다에서 발견되었지만, 실제로는 우주에서 떨어진 운석 조각이다.",'검은 공'은 대기오염으로 인해 자유롭게 떠다니던 공기 중 먼지가 해변에 모여 만들어진 것이다.,'검은 공'은 단순히 해변에서 자라는 해조류의 집합체이다.,"'검은 공'은 탄화수소 기반 오염물질로, 바다로 빠져나간 석유가 다른 물질과 응고되고 응축돼 만들어진 타르볼이다.",4,호주 검은 공 사건,타르볼은 응고된 석유 오염물질입니다.
최근 호주 시드니 해변에 떠밀려와 해변을 폐쇄하게 만든 '검은 공'의 원인으로 알맞은 것은?,'검은 공'은 해변의 자연적인 침식으로 인해 생성되었다.,'검은 공'은 사실 플라스틱 조각들이 모여 만들어진 것이다.,석유가 다른 물질과 응고되고 응축되어 만들어진 타르볼 때문이다.,'검은 공'은 건설 활동의 일환으로 의도적으로 만들어진 인공물이다.,3,호주 검은 공 사건,타르볼은 해상 석유 유출로 형성됩니다.
다음 중 해양 생태계에 약품이 미치는 영향으로 알맞은 것은?,약품은 해양 생태계에 전혀 영향을 주지 않는다.,약품 성분은 해양 생물의 건강에 긍정적인 영향을 미친다.,약품 성분이 해양 생물의 번식과 생존에 부정적 영향을 미친다.,약품은 해양 생물의 생존을 오히려 활성화시킨다.,3,약품 사고,약품이 생물호르몬 교란 및 유해 변화를 유발합니다.
다음 중 약품으로 인한 해양생물의 피해 사례로 알맞은 것은?,약품은 해양 생물의 생식 능력을 향상시킨다.,약품은 해양 생물에게 유해하지 않고 자연적으로 분해된다.,모든 약품은 해양 환경에서 이로운 효과를 미친다.,하수구를 통해 버려진 약품이 강과 하천으로 흘러들어 여러 어패류의 생태계를 교란한다.,4,약품 사고,약품이 생태계 교란하여 생물 다양성 감소합니다.
해양 생물에게 심각한 영향을 미칠 수 있는 약품 처리 방법으로 알맞은 것은?,해양에 직접 버려도 자연적으로 분해되므로 문제가 없다.,미복용 약품은 일반 쓰레기통에 버리면 된다.,미복용 약품을 하수구나 변기가 아닌 지정된 폐의약품 수거함에 버린다.,약품은 그냥 싱크대에 흘려보내면 수처리장에서 충분히 처리할 수 있다.,3,약품 사고,폐의약품이 수질 오염을 줄여 해양 생물 보호합니다.
약품의 배출로 인해 해양 생물에게 미치는 영향으로 알맞은 것은?,약품은 하수구를 통해 버려지지 않고 자연적으로 분해되어 안전하다.,강과 하천에 버려진 약품은 해양 생물의 생장을 촉진시킨다.,해양 생물은 약품에 전혀 영향을 받지 않는다.,하수구를 통해 버려진 약품이 강과 하천으로 흘러 들어가 해양 생물의 생태계를 교란시킨다.,4,약품 사고,약품이 생태계 균형을 파괴하여 생물을 위협합니다.
약품으로 인한 해양 생물의 고통에 대한 설명으로 알맞은 것은?,약품은 자연적으로 농축되지 않으며 생물에 축적되지 않는다.,하수구를 통해 버려진 약품은 강과 하천으로 흘러들어가 어패류 생태계에 교란을 일으킨다.,약품은 해양 생물의 진화에 유리한 환경을 제공한다.,약품은 물에서 빠르게 분해되어 해양 생물에게 해를 끼치지 않는다.,2,약품 사고,약품은 해양 생물의 생리적 균형을 교란합니다.
제주바다에서 목격된 돌고래에 대한 설명으로 옳은 것은?,제주바다에서는 돌고래가 전혀 관찰되지 않는다.,폐어구는 돌고래의 건강에 전혀 영향을 미치지 않는다.,성체에 가까운 남방큰돌고래가 폐어구에 감겨 있는 상태이다.,제주바다의 돌고래는 항상 물 위로 떠오르지 않는다.,3,폐어구에 걸린 돌고래,제주바다 특성과 폐어구 위험성 때문입니다.
제주바다에서 폐어구에 걸린 돌고래에 대한 설명으로 알맞은 것은?,폐어구에 걸린 돌고래는 오히려 더 빨리 수영할 수 있다.,돌고래는 폐어구와 놀이를 즐기며 스트레스를 해소한다.,돌고래는 폐어구에 적응하여 생활하는 데 전혀 문제가 없다.,돌고래의 꼬리에 폐어구가 감기면 활동에 지장을 받을 수 있다.,4,폐어구에 걸린 돌고래,폐어구가 감기면 이동과 사냥이 어려워집니다.
다음 중 제주바다에서 폐어구에 걸린 남방큰돌고래에 대한 설명으로 알맞은 것은?,해조류가 폐어구에 끼기 시작하면 활동에 지장을 받을 수 있다.,폐어구는 남방큰돌고래의 자연 서식지에 긍정적인 영향을 미친다.,남방큰돌고래는 폐어구를 활용해 둥지를 짓는다.,남방큰돌고래는 폐어구에 의해 아무런 지장을 받지 않는다.,1,폐어구에 걸린 돌고래,폐어구에 해조류가 끼면 돌고래 움직임을 방해합니다.
제주 바다에서 폐어구에 걸린 돌고래에 대한 설명으로 알맞은 것은?,폐어구에 걸린 돌고래는 자연적으로 회복할 수밖에 없어 구조되지 않는다.,제주 바다의 돌고래는 제스처를 통해 폐어구를 스스로 제거할 수 있다.,북극에서 발견된 흰돌고래가 제주 바다에서 폐어구에 걸렸다.,"남방큰돌고래가 폐어구에 걸렸으며, 폐어구 제거 작업에 성공한 사례가 있다.",4,폐어구에 걸린 돌고래,남방큰돌고래구조 및 성공사례가 존재합니다.
제주바다에서 발견된 폐어구에 걸린 남방큰돌고래에 대한 설명으로 알맞은 것은?,"남방큰돌고래는 폐어구에 걸려도 살아남을 수 없으며, 발견 즉시 사망한다.","남방큰돌고래는 원래 대서양에서 서식하며, 제주바다와는 관련이 없다.",남방큰돌고래는 제주바다에서 처음 발견된 종이다.,남방큰돌고래는 제주바다에서 낚싯줄에 걸려 처음 발견된 후 10개월 만에 낚싯줄 제거에 성공하였다.,4,폐어구에 걸린 돌고래,정확한 발견 시기와 제거 성공 시기를 설명합니다.
우리나라 연안에서 발견된 바다 거북에 대한 설명으로 알맞은 것은?,바다 거북 10마리 중 8마리는 해수의 염분을 먹이로 삼는다.,"바다 거북은 우리나라에 서식하지 않으며, 이곳에서 발견될 수 없다.",바다 거북 10마리 중 8마리가 플라스틱을 섭취한 것으로 확인되었다.,우리나라 연안에서 발견된 바다 거북은 플라스틱을 전혀 섭취하지 않는다.,3,우리나라 바다 거북,연안 오염으로 인해 플라스틱 섭취 증가 때문입니다.
우리나라 연안에서 발견된 바다거북의 플라스틱 섭식에 대한 설명으로 알맞은 것은?,우리나라 연안에서 발견된 바다거북은 해양 플라스틱을 전혀 섭취하지 않았다.,우리나라 연안에서 발견된 바다거북 폐사체 34마리 중 단 한 마리도 플라스틱 섭취에 관련된 사망이 아닌 것으로 확인되었다.,우리나라 연안에서 발견된 바다거북 폐사체 34마리 중 28마리가 해양 플라스틱을 섭식하였다.,"우리나라 바다거북의 폐사는 모두 자연적인 원인에 의한 것이며, 어떤 형태의 해양 오염과도 관련이 없다.",3,우리나라 바다 거북,플라스틱 섭식률이 높음을 보여줍니다.
우리나라 연안에서 발견된 바다거북에 대한 설명으로 알맞은 것은?,바다거북의 소화기관에서는 자연적으로 형성된 조개와 산호만 발견되었다.,바다거북은 우리나라 연안에 살지 않는다.,바다거북의 소화기관에서 음식물 쓰레기가 발견되지 않는다.,"바다거북의 소화기관에서 플라스틱뿐만 아니라 비닐, 테이프, 낚시줄 등 생활쓰레기가 발견되었다.",4,우리나라 바다 거북,우리나라 바다거북의 소화기관에서 다양한 생활쓰레기가 발견되었기 때문입니다.
우리나라 연안에서 발견된 바다 거북에 대한 설명으로 알맞은 것은?,대부분의 바다 거북 사체에서 플라스틱이 발견되었다.,"바다 거북은 육지에만 서식하며, 바다에서 발견되지 않는다.",우리나라 연안의 바다 거북은 인간 활동과 전혀 관련이 없는 멸종 위기이다.,우리나라 연안의 바다 거북은 모두 플라스틱을 먹지 않는다.,1,우리나라 바다 거북,환경오염이 해양 생태계에 미치는 영향 때문입니다.
우리나라 연안에서 발견된 바다 거북에 대한 설명으로 알맞은 것은?,바다 거북은 플라스틱을 섭식하면 건강에 전혀 지장이 없다.,바다 거북은 해안에만 서식하며 바다 속으로는 전혀 들어가지 않는다.,우리나라 연안에서는 바다 거북이 전혀 발견되지 않는다.,우리나라 연안에서 발견된 바다 거북 10마리 중 8마리가 플라스틱을 섭식하였다.,4,우리나라 바다 거북,바다 오염이 거북 생태에 큰 영향을 미칩니다.
상괭이에 대한 설명으로 알맞은 것은?,상괭이는 대규모 무리를 지어 이동하는 습성을 가지고 있다.,상괭이는 물을 전혀 마시지 않고도 생존할 수 있는 육지 포유류다.,상괭이는 고래류 중 가장 빠르게 헤엄칠 수 있는 종이다.,상괭이는 주둥이가 앞으로 튀어나오지 않아 일반적인 돌고래와는 다르다.,4,상괭이,상괭이는 주둥이가 평평하여 돌고래와 구별됩니다.
상괭이에 대한 설명으로 알맞은 것은?,상괭이는 등지느러미 대신 용골과 같은 융기가 등의 흉부에서 꼬리까지 이어져 있다.,상괭이는 날개를 사용하여 하늘을 난다.,상괭이는 꼬리 대신 긴 목을 가지고 있다.,상괭이는 호수에서만 서식하는 해양 포유류이다.,1,상괭이,상괭이는 등지느러미 없이 용골 융기가 있습니다.
상괭이에 대한 설명으로 알맞은 것은?,"상괭이는 육상 동물이며, 고산지대에서 주로 발견된다.","상괭이는 북극의 빙하 아래에 서식하고, 청록색의 몸 색깔을 가진다.","상괭이는 사막에서 주로 서식하며, 물이 거의 필요 없다.","상괭이는 주로 한반도 남서해에 서식하며, 회백색의 몸 색깔을 가진다.",4,상괭이,상괭이는 회백색이며 한반도 남서해에 서식합니다.
상괭이에 대한 설명으로 알맞은 것은?,상괭이는 육지에 서식하며 나무 위를 이동한다.,"상괭이는 몸 색깔이 주로 회백색이며, 죽은 사체는 흑색으로 변한다.",상괭이는 주로 사막 지역에서 발견된다.,상괭이는 날개가 있어서 하늘을 날 수 있다.,2,상괭이,죽으면 멜라닌이 증가하여 색이 짙어집니다.
상괭이에 관한 설명으로 알맞은 것은?,상괭이는 육지에서 서식하며 산악 지대에서 발견된다.,상괭이는 주로 북극해에서만 서식하는 생물이다.,상괭이는 인간과 유사한 육아 방식을 가진다.,상괭이는 돌고래와 달리 주둥이가 앞으로 튀어나오지 않는다.,4,상괭이,상괭이는 짧고 둥근 주둥이를 가집니다.
해양쓰레기 발생원인으로 옳은 것은?,여름철에만 발생하는 해양쓰레기가 있다.,일상적인 쓰레기가 해양쓰레기로 정의되지 않는다.,장마철 폭우나 태풍이 있을 때 함부로 버려진 쓰레기가 바다로 이동하게 된다.,해양쓰레기는 주로 고무나 금속으로만 구성된다.,3,해양쓰레기 발생원인,장마철 폭우나 태풍으로 쓰레기가 쉽게 이동해 바다로 유입되기 때문입니다.
해양쓰레기의 발생원인으로 옳은 것은?,해양쓰레기는 항구 근처에서만 발생한다.,하천과 강을 따라 바다로 들어오는 쓰레기,해양쓰레기는 바닷속에서 자연적으로 생성된다.,해양쓰레기는 주로 기후 변화로 인해 발생한다.,2,해양쓰레기 발생원인,하천과 강은 육상의 쓰레기가 바다로 직접 유입되는 경로이기 때문입니다.
국내 해양쓰레기 현황에 대한 정보로 알맞은 것은?,육지에서 유입되는 양이 50%를 차지한다.,해양 쓰레기의 대부분은 해상에서 발생한다.,육지에서 유입되는 양이 65%로 가장 많다.,바다에서 직접 발생하는 양이 75%로 가장 많다.,3,해양쓰레기 현황,육지에서 유입된 쓰레기가 해양오염의 주 원인임을 나타냅니다.
해양쓰레기로 인해 생물에게 피해가 발생하는 것 중 옳은 것은?,미세플라스틱이 해양생태계를 위협한다.,해양 생물이 쓰레기를 먹지 않는다.,해양쓰레기는 생물에게 무해한 영향을 미친다.,해양쓰레기는 생물의 생존에 필수적인 요소이다.,1,해양쓰레기 피해 및 위험성,"미세플라스틱은 해양 생물의 식량으로 오인돼 섭취되며, 해양 생태계에 직접적인 위협이 됩니다."
태평양 해양 쓰레기섬과 관련하여 거리가 가까운 것은?,태평양 해양 쓰레기섬은 주로 침전물이 형성된 지역이다.,해양 쓰레기 섬은 해양 생물을 보호하기 위한 인공 구조물이다.,해양 폐기물들이 바다의 흐름에 따라 한 곳으로 모여 형성된 대규모 플라스틱 쓰레기 섬이다.,해양 쓰레기 섬은 해양 생물들이 생성한 자연 현상이다.,3,태평양 쓰레기섬,해양 폐기물이 해류에 의해 집합해 형성된 것이기 때문입니다.
미세 플라스틱의 환경적 영향 중 거리가 가까운 것은?,미세 플라스틱은 해양 생물의 생태계에 긍정적인 영향을 준다.,물고기의 성장과 번식에 장애를 일으킨다.,미세 플라스틱은 주로 육상 동물에게만 영향을 미친다.,미세 플라스틱은 주로 수중 식물의 광합성을 방해한다.,2,미세플라스틱,미세 플라스틱이 물고기에 유입되어 먹이사슬에 영향을 주기 때문입니다.
미세 플라스틱이 해양생태계에 미치는 영향으로 거리가 가까운 것은?,미세 플라스틱은 해양 생물의 생존에 아무런 영향을 미치지 않는다.,미세 플라스틱은 해양 생물의 인지 능력을 향상시킨다.,미세 플라스틱은 해양 생물의 색상을 변화시킨다.,성장과 번식에 장애를 일으키는 문제이다.,4,미세플라스틱,미세 플라스틱이 해양 생물의 생리적 기능을 방해하여 성장과 번식에 악영향을 미치기 때문입니다.
허베이스피릿호 원유유출 사고와 관련하여 거리가 가까운 것은?,"2007년 12월 7일 충남 앞 바다에서 일어난 국내 최대 해양오염 사고로, 12,547㎘의 원유가 유출됐다.",허베이스피릿호 사고는 2005년 5월 15일 부산 앞바다에서 발생했다.,허베이스피릿호 사고는 단 한 방울의 원유도 유출되지 않았다.,허베이스피릿호 사고는 2010년 4월 20일 미국 멕시코만에서 발생한 사고이다.,1,허베이스피릿호 원유유출 사고,사고 발생일과 장소가 관련 정보입니다.
허베이스피릿호 원유유출 사고와 관련하여 거리가 가까운 것은?,"120,000㎘의 원유가 해상으로 유출되었다.","5,874㎘의 원유가 해상으로 유출되었다.","20,000㎘의 원유가 해상으로 유출되었다.","12,547㎘의 원유가 해상으로 유출되었다.",4,허베이스피릿호 원유유출 사고,유출된 원유량이 사건의 핵심 사실이기 때문입니다.
호주 시드니 해변의 검은 공 사건과 관련하여 옳은 것은?,검은 공은 해양 쓰레기와는 관계없이 별개로 발생한다.,검은 공은 자연적인 해양 자원으로 알려져 있다.,"검은 공은 탄화수소 기반 오염물질로, 바다로 빠져나간 석유와 이물질이 응고돼 생성되었다.",검은 공은 주로 해양 생물에 의해 생성된 것이다.,3,호주 검은 공 사건,검은 공은 석유와 이물질의 응집체입니다.
검은 공 사건과 관련하여 거리가 가까운 것은?,검은 공 사건은 해양 생물의 번식에 긍정적인 영향을 미쳤다.,해변에 떠밀려온 탄화수소 기반 오염물질로 확인된 검은 공이다.,검은 공은 바다에서 발견된 플라스틱 조각으로만 이루어져 있다.,검은 공 사건은 육상의 폐기물 처리 실패로 인한 것이다.,2,호주 검은 공 사건,검은 공 사건은 탄화수소 오염물질과 관련이 있습니다.
"해양 생물에 미치는 약품으로 인한 영향에 대한 설명 중 옳은 것은?",미복용 약품이 하수구를 통해 흘러들어가 어패류에 생태계 교란을 일으킨다.,약품은 하수구를 통해 바다로 흘러갈 수 없다.,의약품이 해양 생물에게 직접적으로 유익한 영향을 미친다.,해양 생물은 약품에 대해 면역성이 강해 영향을 받지 않는다.,1,약품 사고,약품이 하수구로 유입되어 생태계에 해로운 영향을 미치기 때문입니다.
우리나라 연안에서 발견된 바다거북에 대한 정보 중 옳은 것은?,10마리 중 5마리가 플라스틱을 먹은 것으로 확인됐다.,바다거북은 연안에서 플라스틱을 전혀 섭취하지 않는다.,10마리 중 8마리가 플라스틱을 먹은 것으로 확인됐다.,10마리 중 3마리가 다른 종류의 쓰레기를 먹은 것으로 확인됐다.,3,우리나라 바다 거북,"플라스틱 섭취는 환경 오염의 직접적 증거로, 바다거북에 미치는 영향을 보여줍니다."
상괭이가 주로 서식하는 지역으로 옳은 것은?,동해안,한반도 남서해,동중국해,태평양,2,상괭이,"상괭이는 따뜻한 해양 환경을 선호하기 때문에 한반도 남서해에서 주로 서식합니다."
상괭이의 서식지로 옳은 것은?,한반도 동해,서남극 해역,태평양,한반도 남서해,4,상괭이,상괭이는 한반도 남서해 해역에서 자주 발견됩니다.
해양쓰레기로 인해 바다생물이 입는 피해 중 올바른 것은?,바다생물은 해양쓰레기를 소화시킬 수 없다.,해양쓰레기는 해양생물의 생태계에 긍정적인 영향을 미친다.,해양쓰레기는 대부분 자연적으로 분해된다.,해양쓰레기는 주로 해저에서 자연적으로 정화된다.,1,해양쓰레기 피해 사례,바다동물은 플라스틱을 소화하지 못합니다.